Comment,Designator,Footprint,LCSC
0.1u,C6,C_0805_2012Metric,
10k,R2,R_0805_2012Metric,
0.1u,C5,C_0805_2012Metric,
0.1u,C3,C_0805_2012Metric,
Jumper_2_Open,JP5,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
1.1k,R4,R_0805_2012Metric,
Jumper_2_Open,JP4,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
2.2k,R3,R_0805_2012Metric,
10k,R1,R_0805_2012Metric,
Conn_02x01,J2,PinSocket_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP7,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
0.1u,C4,C_0805_2012Metric,
Conn_02x08_Odd_Even,J1,PinSocket_2x08_P2.54mm_Vertical,
DRV8837,U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
LED,D1,LED_0805_2012Metric,
Jumper_2_Open,JP6,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
DRV8837,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
LED,D2,LED_0805_2012Metric,
10u,C8,C_0805_2012Metric,
0.4,R6,R_0805_2012Metric,
Conn_01x02_Pin,J3,PinHeader_1x02_P2.54mm_Vertical,
TP4056,U4,ESOP8_UMW-L,
10u,C7,C_0805_2012Metric,
1k,R7,R_0805_2012Metric,
1k,R8,R_0805_2012Metric,
